cyclenodes,in-msg,in-byte,out-msg,out-byte
4.000000,257.000000,71796.000000,260.000000,78324.000000
8.000000,449.000000,127124.000000,452.000000,134412.000000
12.000000,644.000000,182868.000000,648.000000,191196.000000
16.000000,840.000000,238868.000000,844.000000,247980.000000
20.000000,1036.000000,294868.000000,1040.000000,304764.000000
24.000000,1232.000000,350868.000000,1236.000000,361548.000000
28.000000,1428.000000,406868.000000,1432.000000,418332.000000
32.000000,1624.000000,462868.000000,1628.000000,475116.000000
36.000000,1820.000000,518868.000000,1824.000000,531900.000000
